ticker,isin,company_name,company_type_profile,sec_identity_status,sec_refresh_plan_status,mapping_review_required,sec_user_agent_status,execution_readiness_status,network_would_be_required,network_performed,fetch_performed,evidence_apply_performed,master_mutation_performed,score_formula_mutation_performed,reason_codes
US02079K3059,US02079K3059,"Alphabet Inc. Reg. Shs Cap.Stk Cl. A DL-,001",STANDARD,APPROVED_IDENTITY,READY_FOR_EXPLICIT_SEC_REFRESH,no,MISSING,BLOCKED_USER_AGENT_MISSING,True,False,False,False,False,False,NETWORK_REQUIRED_FOR_REFRESH;NO_EVIDENCE_APPLY;NO_FETCH_PERFORMED;NO_MASTER_MUTATION;NO_NETWORK_PERFORMED;NO_SCORE_FORMULA_MUTATION;READY_PLAN_ROW;SEC_IDENTITY_MAP_PRESENT;SEC_IDENTITY_SCHEMA_VALID;SEC_USER_AGENT_MISSING
US22788C1053,US22788C1053,"Crowdstrike Holdings Inc Registered Shs Cl.A DL-,0005",STANDARD,APPROVED_IDENTITY,READY_FOR_EXPLICIT_SEC_REFRESH,no,MISSING,BLOCKED_USER_AGENT_MISSING,True,False,False,False,False,False,NETWORK_REQUIRED_FOR_REFRESH;NO_EVIDENCE_APPLY;NO_FETCH_PERFORMED;NO_MASTER_MUTATION;NO_NETWORK_PERFORMED;NO_SCORE_FORMULA_MUTATION;READY_PLAN_ROW;SEC_IDENTITY_MAP_PRESENT;SEC_IDENTITY_SCHEMA_VALID;SEC_USER_AGENT_MISSING
US8522341036,US8522341036,Block Inc. Registered Shs Class A,STANDARD,APPROVED_IDENTITY,READY_FOR_EXPLICIT_SEC_REFRESH,no,MISSING,BLOCKED_USER_AGENT_MISSING,True,False,False,False,False,False,NETWORK_REQUIRED_FOR_REFRESH;NO_EVIDENCE_APPLY;NO_FETCH_PERFORMED;NO_MASTER_MUTATION;NO_NETWORK_PERFORMED;NO_SCORE_FORMULA_MUTATION;READY_PLAN_ROW;SEC_IDENTITY_MAP_PRESENT;SEC_IDENTITY_SCHEMA_VALID;SEC_USER_AGENT_MISSING
US92826C8394,US92826C8394,"VISA Inc. Reg. Shares Class A DL -,0001",STANDARD,APPROVED_IDENTITY,READY_FOR_EXPLICIT_SEC_REFRESH,no,MISSING,BLOCKED_USER_AGENT_MISSING,True,False,False,False,False,False,NETWORK_REQUIRED_FOR_REFRESH;NO_EVIDENCE_APPLY;NO_FETCH_PERFORMED;NO_MASTER_MUTATION;NO_NETWORK_PERFORMED;NO_SCORE_FORMULA_MUTATION;READY_PLAN_ROW;SEC_IDENTITY_MAP_PRESENT;SEC_IDENTITY_SCHEMA_VALID;SEC_USER_AGENT_MISSING
