ticker,isin,company_name,company_type_profile,missing_core_kpis,missing_core_kpi_count,core_kpi_closure_status,core_kpi_closure_reason_codes,candidate_sec_fact_tags,sec_identity_status,sec_refresh_plan_status,network_required,allow_network_required_for_future_refresh,sec_user_agent_required,kpi_to_sec_fact_mapping_status,mapping_review_required,value_fetch_performed,evidence_apply_performed,master_mutation_performed,score_mutation_performed,reason_codes
US02079K3059,US02079K3059,"Alphabet Inc. Reg. Shs Cap.Stk Cl. A DL-,001",STANDARD,gross_margin; operating_margin; revenue_cagr_5y; share_count_cagr_5y,4,REVIEW,CORE_KPI_MISSING;NO_VALUE_CHANGES;REVIEW_CORE_DATA;SEC_IDENTITY_AVAILABLE,GrossProfit; OperatingIncomeLoss; RevenueFromContractWithCustomerExcludingAssessedTax; Revenues; SalesRevenueNet; WeightedAverageNumberOfDilutedSharesOutstanding,APPROVED_IDENTITY,READY_FOR_EXPLICIT_SEC_REFRESH,False,yes,yes,MAPPED,no,False,False,False,False,ALLOW_NETWORK_REQUIRED_FOR_FUTURE_REFRESH;CORE_KPI_MISSING;NO_EVIDENCE_APPLY;NO_MASTER_MUTATION;NO_NETWORK_BY_DEFAULT;NO_SCORE_MUTATION;NO_VALUE_FETCH;READY_FOR_EXPLICIT_SEC_REFRESH;SEC_IDENTITY_AVAILABLE;SEC_USER_AGENT_REQUIRED_FOR_FUTURE_REFRESH
US22788C1053,US22788C1053,"Crowdstrike Holdings Inc Registered Shs Cl.A DL-,0005",STANDARD,eps_cagr_5y; gross_margin; operating_margin; revenue_cagr_5y; share_count_cagr_5y,5,REVIEW,CORE_KPI_MISSING;NO_VALUE_CHANGES;REVIEW_CORE_DATA;SEC_IDENTITY_AVAILABLE,EarningsPerShareDiluted; GrossProfit; OperatingIncomeLoss; RevenueFromContractWithCustomerExcludingAssessedTax; Revenues; SalesRevenueNet; WeightedAverageNumberOfDilutedSharesOutstanding,APPROVED_IDENTITY,READY_FOR_EXPLICIT_SEC_REFRESH,False,yes,yes,MAPPED,no,False,False,False,False,ALLOW_NETWORK_REQUIRED_FOR_FUTURE_REFRESH;CORE_KPI_MISSING;NO_EVIDENCE_APPLY;NO_MASTER_MUTATION;NO_NETWORK_BY_DEFAULT;NO_SCORE_MUTATION;NO_VALUE_FETCH;READY_FOR_EXPLICIT_SEC_REFRESH;SEC_IDENTITY_AVAILABLE;SEC_USER_AGENT_REQUIRED_FOR_FUTURE_REFRESH
US8522341036,US8522341036,Block Inc. Registered Shs Class A,STANDARD,gross_margin; operating_margin; revenue_cagr_5y,3,REVIEW,CORE_KPI_MISSING;NO_VALUE_CHANGES;REVIEW_CORE_DATA;SEC_IDENTITY_AVAILABLE,GrossProfit; OperatingIncomeLoss; RevenueFromContractWithCustomerExcludingAssessedTax; Revenues; SalesRevenueNet,APPROVED_IDENTITY,READY_FOR_EXPLICIT_SEC_REFRESH,False,yes,yes,MAPPED,no,False,False,False,False,ALLOW_NETWORK_REQUIRED_FOR_FUTURE_REFRESH;CORE_KPI_MISSING;NO_EVIDENCE_APPLY;NO_MASTER_MUTATION;NO_NETWORK_BY_DEFAULT;NO_SCORE_MUTATION;NO_VALUE_FETCH;READY_FOR_EXPLICIT_SEC_REFRESH;SEC_IDENTITY_AVAILABLE;SEC_USER_AGENT_REQUIRED_FOR_FUTURE_REFRESH
US92826C8394,US92826C8394,"VISA Inc. Reg. Shares Class A DL -,0001",STANDARD,eps_cagr_5y; gross_margin; revenue_cagr_5y; share_count_cagr_5y,4,REVIEW,CORE_KPI_MISSING;NO_VALUE_CHANGES;REVIEW_CORE_DATA;SEC_IDENTITY_AVAILABLE,EarningsPerShareDiluted; GrossProfit; RevenueFromContractWithCustomerExcludingAssessedTax; Revenues; SalesRevenueNet; WeightedAverageNumberOfDilutedSharesOutstanding,APPROVED_IDENTITY,READY_FOR_EXPLICIT_SEC_REFRESH,False,yes,yes,MAPPED,no,False,False,False,False,ALLOW_NETWORK_REQUIRED_FOR_FUTURE_REFRESH;CORE_KPI_MISSING;NO_EVIDENCE_APPLY;NO_MASTER_MUTATION;NO_NETWORK_BY_DEFAULT;NO_SCORE_MUTATION;NO_VALUE_FETCH;READY_FOR_EXPLICIT_SEC_REFRESH;SEC_IDENTITY_AVAILABLE;SEC_USER_AGENT_REQUIRED_FOR_FUTURE_REFRESH
