check_id,artifact_label,compared_to,artifact_path,artifact_exists,artifact_rows_total,artifact_freshness_status,artifact_drift_status,reason_codes,observed_value,expected_value,metadata_status,run_id,generated_at,source_mode,input_lineage,recommended_next_action
metadata_inventory__evidence_delta_holdings,evidence_delta_holdings,,data/processed/personal_evidence_applied_downstream_delta_holdings.csv,True,17,MISSING_METADATA,REVIEW,MISSING_METADATA,metadata_status=MISSING_METADATA,Artifact exists with comparable run_id and generated_at metadata.,MISSING_METADATA,,,,,Add explicit run metadata to derived artifact contracts.
metadata_inventory__evidence_delta_summary,evidence_delta_summary,,data/processed/personal_evidence_applied_downstream_delta_summary.csv,True,18,MISSING_METADATA,REVIEW,MISSING_METADATA,metadata_status=PARTIAL_METADATA,Artifact exists with comparable run_id and generated_at metadata.,PARTIAL_METADATA,,,EVIDENCE_APPLIED,data/processed/personal_fundamentals_master_evidence_applied.csv,Add explicit run metadata to derived artifact contracts.
metadata_inventory__kpi_tier,kpi_tier,,data/processed/personal_kpi_tier_coverage.csv,True,17,MISSING_METADATA,REVIEW,MISSING_METADATA,metadata_status=MISSING_METADATA,Artifact exists with comparable run_id and generated_at metadata.,MISSING_METADATA,,,,,Add explicit run metadata to derived artifact contracts.
metadata_inventory__missing_kpi_summary,missing_kpi_summary,,data/processed/personal_missing_kpi_closure_summary.csv,True,23,MISSING_METADATA,REVIEW,MISSING_METADATA,metadata_status=PARTIAL_METADATA,Artifact exists with comparable run_id and generated_at metadata.,PARTIAL_METADATA,,,PROFILED,data/processed/personal_fundamentals_master_profiled.csv,Add explicit run metadata to derived artifact contracts.
metadata_inventory__run_used_inputs,run_used_inputs,,data/processed/personal_run_used_inputs.csv,True,25,MISSING_METADATA,REVIEW,MISSING_METADATA,metadata_status=PARTIAL_METADATA,Artifact exists with comparable run_id and generated_at metadata.,PARTIAL_METADATA,,,,,Add explicit run metadata to derived artifact contracts.
metadata_inventory__scores,scores,,data/processed/personal_company_scores.csv,True,17,MISSING_METADATA,REVIEW,MISSING_METADATA,metadata_status=PARTIAL_METADATA,Artifact exists with comparable run_id and generated_at metadata.,PARTIAL_METADATA,,2026-04-26T15:41:32+00:00,,,Add explicit run metadata to derived artifact contracts.
score_vs_evidence_delta_status_counters,evidence_delta_summary,scores,data/processed/personal_evidence_applied_downstream_delta_summary.csv,True,18,MISSING_METADATA,REVIEW,MISSING_METADATA;STALE_DERIVED_ARTIFACT,"scores={'OK': 0, 'REVIEW': 6, 'MISSING_DATA': 11, 'BLOCKED': 0}; delta={'OK': 0, 'REVIEW': 0, 'MISSING_DATA': 17, 'BLOCKED': 0}",Score CSV counters match evidence-applied delta summary counters when artifacts are comparable.,PARTIAL_METADATA,,,EVIDENCE_APPLIED,data/processed/personal_fundamentals_master_evidence_applied.csv,"Regenerate derived delta with comparable run metadata, or keep it marked stale/deferred."
