ticker,isin,company_name,company_type_profile,missing_core_kpis,sec_identity_status,sec_refresh_plan_status,preflight_status,identity_map_status,sec_user_agent_status,network_gate_status,fetch_module_status,refresh_cli_status,network_performed,fetch_performed,raw_sec_snapshot_written,evidence_apply_performed,master_mutation_performed,score_mutation_performed,reason_codes
US02079K3059,US02079K3059,"Alphabet Inc. Reg. Shs Cap.Stk Cl. A DL-,001",STANDARD,gross_margin; operating_margin; revenue_cagr_5y; share_count_cagr_5y,APPROVED_IDENTITY,READY_FOR_EXPLICIT_SEC_REFRESH,REVIEW_REQUIRED,PRESENT,MISSING,REQUIRED_FOR_REFRESH,AVAILABLE,AVAILABLE,False,False,False,False,False,False,ALLOW_NETWORK_REQUIRED_FOR_FUTURE_REFRESH;FETCH_MODULE_AVAILABLE;NO_EVIDENCE_APPLY;NO_FETCH_PERFORMED;NO_MASTER_MUTATION;NO_NETWORK_BY_DEFAULT;NO_NETWORK_PERFORMED;NO_RAW_SEC_SNAPSHOT_WRITTEN;NO_SCORE_MUTATION;REFRESH_CLI_AVAILABLE;REVIEW_REQUIRED;SEC_IDENTITY_MAP_PRESENT;SEC_REFRESH_PLAN_READY;SEC_USER_AGENT_MISSING
US22788C1053,US22788C1053,"Crowdstrike Holdings Inc Registered Shs Cl.A DL-,0005",STANDARD,eps_cagr_5y; gross_margin; operating_margin; revenue_cagr_5y; share_count_cagr_5y,APPROVED_IDENTITY,READY_FOR_EXPLICIT_SEC_REFRESH,REVIEW_REQUIRED,PRESENT,MISSING,REQUIRED_FOR_REFRESH,AVAILABLE,AVAILABLE,False,False,False,False,False,False,ALLOW_NETWORK_REQUIRED_FOR_FUTURE_REFRESH;FETCH_MODULE_AVAILABLE;NO_EVIDENCE_APPLY;NO_FETCH_PERFORMED;NO_MASTER_MUTATION;NO_NETWORK_BY_DEFAULT;NO_NETWORK_PERFORMED;NO_RAW_SEC_SNAPSHOT_WRITTEN;NO_SCORE_MUTATION;REFRESH_CLI_AVAILABLE;REVIEW_REQUIRED;SEC_IDENTITY_MAP_PRESENT;SEC_REFRESH_PLAN_READY;SEC_USER_AGENT_MISSING
US8522341036,US8522341036,Block Inc. Registered Shs Class A,STANDARD,gross_margin; operating_margin; revenue_cagr_5y,APPROVED_IDENTITY,READY_FOR_EXPLICIT_SEC_REFRESH,REVIEW_REQUIRED,PRESENT,MISSING,REQUIRED_FOR_REFRESH,AVAILABLE,AVAILABLE,False,False,False,False,False,False,ALLOW_NETWORK_REQUIRED_FOR_FUTURE_REFRESH;FETCH_MODULE_AVAILABLE;NO_EVIDENCE_APPLY;NO_FETCH_PERFORMED;NO_MASTER_MUTATION;NO_NETWORK_BY_DEFAULT;NO_NETWORK_PERFORMED;NO_RAW_SEC_SNAPSHOT_WRITTEN;NO_SCORE_MUTATION;REFRESH_CLI_AVAILABLE;REVIEW_REQUIRED;SEC_IDENTITY_MAP_PRESENT;SEC_REFRESH_PLAN_READY;SEC_USER_AGENT_MISSING
US92826C8394,US92826C8394,"VISA Inc. Reg. Shares Class A DL -,0001",STANDARD,eps_cagr_5y; gross_margin; revenue_cagr_5y; share_count_cagr_5y,APPROVED_IDENTITY,READY_FOR_EXPLICIT_SEC_REFRESH,REVIEW_REQUIRED,PRESENT,MISSING,REQUIRED_FOR_REFRESH,AVAILABLE,AVAILABLE,False,False,False,False,False,False,ALLOW_NETWORK_REQUIRED_FOR_FUTURE_REFRESH;FETCH_MODULE_AVAILABLE;NO_EVIDENCE_APPLY;NO_FETCH_PERFORMED;NO_MASTER_MUTATION;NO_NETWORK_BY_DEFAULT;NO_NETWORK_PERFORMED;NO_RAW_SEC_SNAPSHOT_WRITTEN;NO_SCORE_MUTATION;REFRESH_CLI_AVAILABLE;REVIEW_REQUIRED;SEC_IDENTITY_MAP_PRESENT;SEC_REFRESH_PLAN_READY;SEC_USER_AGENT_MISSING
