review_domain,input_file_status,review_rows_count,approved_rows_count,candidate_rows_count,candidate_fields_count,not_ready_rows_count,invalid_rows_count,private_candidate_file_created,private_values_in_public_outputs,master_mutation_performed,score_mutation_performed,no_imputation_confirmed,reason_codes
VALUATION,MISSING,10,0,0,0,10,0,False,False,False,False,True,INPUT_FILE_MISSING;NO_APPROVED_INPUTS;NO_IMPUTATION;NO_MASTER_MUTATION;NO_SCORE_MUTATION;PUBLIC_OUTPUT_SANITIZED;VALUATION_REQUIRED_MISSING
DIVIDEND_FCF,MISSING,10,0,0,0,10,0,False,False,False,False,True,DIVIDEND_FCF_REQUIRED_MISSING;INPUT_FILE_MISSING;NO_APPROVED_INPUTS;NO_IMPUTATION;NO_MASTER_MUTATION;NO_SCORE_MUTATION;PUBLIC_OUTPUT_SANITIZED
