ticker,isin,company_name,company_type_profile,kpi_name,kpi_tier,kpi_required_status,score_audit_value,evidence_applied_value,profiled_master_value,source_layer,source_name,source_type,source_reference,source_as_of_date,review_status,applied_status,provenance_status,reason_code
IE00BP3QZ825,IE00BP3QZ825,iShsIV-Edge MSCI Wo.Mo.F.U.ETF Registered Shares USD (Acc)o.N,OTHER,normalized_fcf_yield_pct,VALUATION_REQUIRED,VALUATION_REQUIRED,,,,NOT_APPLICABLE,,,,,,,NOT_APPLICABLE,PROFILE_NOT_STANDARD
IE00BP3QZ825,IE00BP3QZ825,iShsIV-Edge MSCI Wo.Mo.F.U.ETF Registered Shares USD (Acc)o.N,OTHER,operating_margin,CORE_QUALITY_REQUIRED,CORE_QUALITY_REQUIRED,,,,NOT_APPLICABLE,,,,,,,NOT_APPLICABLE,PROFILE_NOT_STANDARD
IE00BP3QZ825,IE00BP3QZ825,iShsIV-Edge MSCI Wo.Mo.F.U.ETF Registered Shares USD (Acc)o.N,OTHER,payout_ratio_eps,UNKNOWN,UNKNOWN,,,,NOT_APPLICABLE,,,,,,,NOT_APPLICABLE,PROFILE_NOT_STANDARD
IE00BP3QZ825,IE00BP3QZ825,iShsIV-Edge MSCI Wo.Mo.F.U.ETF Registered Shares USD (Acc)o.N,OTHER,payout_ratio_fcf,DIVIDEND_FCF_REQUIRED,DIVIDEND_FCF_REQUIRED,,,,NOT_APPLICABLE,,,,,,,NOT_APPLICABLE,PROFILE_NOT_STANDARD
IE00BP3QZ825,IE00BP3QZ825,iShsIV-Edge MSCI Wo.Mo.F.U.ETF Registered Shares USD (Acc)o.N,OTHER,pe_current,UNKNOWN,UNKNOWN,,,,NOT_APPLICABLE,,,,,,,NOT_APPLICABLE,PROFILE_NOT_STANDARD
IE00BP3QZ825,IE00BP3QZ825,iShsIV-Edge MSCI Wo.Mo.F.U.ETF Registered Shares USD (Acc)o.N,OTHER,pe_hist,UNKNOWN,UNKNOWN,,,,NOT_APPLICABLE,,,,,,,NOT_APPLICABLE,PROFILE_NOT_STANDARD
IE00BP3QZ825,IE00BP3QZ825,iShsIV-Edge MSCI Wo.Mo.F.U.ETF Registered Shares USD (Acc)o.N,OTHER,revenue_cagr_5y,CORE_QUALITY_REQUIRED,CORE_QUALITY_REQUIRED,,,,NOT_APPLICABLE,,,,,,,NOT_APPLICABLE,PROFILE_NOT_STANDARD
IE00BP3QZ825,IE00BP3QZ825,iShsIV-Edge MSCI Wo.Mo.F.U.ETF Registered Shares USD (Acc)o.N,OTHER,roce,ADVANCED_OPTIONAL,ADVANCED_OPTIONAL,,,,NOT_APPLICABLE,,,,,,,NOT_APPLICABLE,PROFILE_NOT_STANDARD
IE00BP3QZ825,IE00BP3QZ825,iShsIV-Edge MSCI Wo.Mo.F.U.ETF Registered Shares USD (Acc)o.N,OTHER,roic,ADVANCED_OPTIONAL,ADVANCED_OPTIONAL,,,,NOT_APPLICABLE,,,,,,,NOT_APPLICABLE,PROFILE_NOT_STANDARD
IE00BP3QZ825,IE00BP3QZ825,iShsIV-Edge MSCI Wo.Mo.F.U.ETF Registered Shares USD (Acc)o.N,OTHER,share_count_cagr_5y,CORE_QUALITY_REQUIRED,CORE_QUALITY_REQUIRED,,,,NOT_APPLICABLE,,,,,,,NOT_APPLICABLE,PROFILE_NOT_STANDARD
IE00BP3QZ825,IE00BP3QZ825,iShsIV-Edge MSCI Wo.Mo.F.U.ETF Registered Shares USD (Acc)o.N,OTHER,target_fcf_yield_pct,VALUATION_REQUIRED,VALUATION_REQUIRED,,,,NOT_APPLICABLE,,,,,,,NOT_APPLICABLE,PROFILE_NOT_STANDARD
NL0010273215,NL0010273215,"ASML Holding N.V. Aandelen op naam EO -,09",OTHER,buyback_yield,ADVANCED_OPTIONAL,ADVANCED_OPTIONAL,,,,NOT_APPLICABLE,,,,,,,NOT_APPLICABLE,PROFILE_NOT_STANDARD
NL0010273215,NL0010273215,"ASML Holding N.V. Aandelen op naam EO -,09",OTHER,dividend_cagr_5y,UNKNOWN,UNKNOWN,,,,NOT_APPLICABLE,,,,,,,NOT_APPLICABLE,PROFILE_NOT_STANDARD
NL0010273215,NL0010273215,"ASML Holding N.V. Aandelen op naam EO -,09",OTHER,dividend_streak_years,UNKNOWN,UNKNOWN,,,,NOT_APPLICABLE,,,,,,,NOT_APPLICABLE,PROFILE_NOT_STANDARD
