readiness_scope,readiness_status,active_p0_blockers,active_p1_reviews,active_p2_backlog,resolved_blockers,deferred_blockers,primary_reason_codes,evidence,recommended_next_action
DEMO,BLOCKED,WATCHLIST_SAMPLE_INPUT,,,,,SYNTHETIC_OR_SAMPLE_DATA_VISIBLE;WATCHLIST_SAMPLE_INPUT,personal_readiness_blockers.csv,Resolve or explicitly keep blocked: WATCHLIST_SAMPLE_INPUT.
DECISION,BLOCKED,MISSING_DIVIDEND_FCF_REQUIRED;MISSING_VALUATION_REQUIRED;PROVENANCE_INCOMPLETE;REVIEW_CORE_DATA;WATCHLIST_SAMPLE_INPUT,WATCHLIST_REVIEW_OR_MISSING_DATA,,,,CORE_KPI_MISSING;DIVIDEND_FCF_REQUIRED_MISSING;INPUT_FILE_MISSING;NO_IMPUTATION;NO_VALUE_CHANGES;PROFILE_NOT_STANDARD;PROVENANCE_INCOMPLETE;REVIEW_CORE_DATA;SEC_IDENTITY_AVAILABLE;VALUATION_REQUIRED_MISSING;WATCHLIST_REVIEW_OR_MISSING_DATA;WATCHLIST_SAMPLE_INPUT,personal_readiness_blockers.csv,Resolve or explicitly keep blocked: MISSING_DIVIDEND_FCF_REQUIRED;MISSING_VALUATION_REQUIRED;PROVENANCE_INCOMPLETE;REVIEW_CORE_DATA;WATCHLIST_SAMPLE_INPUT.
DASHBOARD,REVIEW,,WATCHLIST_REVIEW_OR_MISSING_DATA,,MONTHLY_SCHEMA_DRIFT,,WATCHLIST_REVIEW_OR_MISSING_DATA,personal_readiness_blockers.csv,Review open items: WATCHLIST_REVIEW_OR_MISSING_DATA.
HANDOFF,REVIEW,,MISSING_METADATA;STALE_ARTIFACT,,ARTIFACT_DRIFT,NO_IMPRINT_PRIVACY;NO_REAL_CTA_TARGETS;PUBLIC_LAUNCH_BLOCKERS,MISSING_METADATA;STALE_DERIVED_ARTIFACT,personal_readiness_blockers.csv,Review open items: MISSING_METADATA;STALE_ARTIFACT.
