ticker,isin,company_name,execution_status,missing_core_kpi_count_before,missing_core_kpi_count_after,score_data_quality_flag_before,score_data_quality_flag_after,monthly_action_before,monthly_action_after,holding_improved,reason_codes
US02079K3059,US02079K3059,"Alphabet Inc. Reg. Shs Cap.Stk Cl. A DL-,001",BLOCKED_NOT_EXECUTED,4,4,MISSING_DATA,MISSING_DATA,REVIEW_CORE_DATA,REVIEW_CORE_DATA,False,BLOCKED_NOT_EXECUTED;NO_VALUE_CHANGES;NO_IMPUTATION
US22788C1053,US22788C1053,"Crowdstrike Holdings Inc Registered Shs Cl.A DL-,0005",BLOCKED_NOT_EXECUTED,5,5,MISSING_DATA,MISSING_DATA,REVIEW_CORE_DATA,REVIEW_CORE_DATA,False,BLOCKED_NOT_EXECUTED;NO_VALUE_CHANGES;NO_IMPUTATION
US8522341036,US8522341036,Block Inc. Registered Shs Class A,BLOCKED_NOT_EXECUTED,3,3,MISSING_DATA,MISSING_DATA,REVIEW_CORE_DATA,REVIEW_CORE_DATA,False,BLOCKED_NOT_EXECUTED;NO_VALUE_CHANGES;NO_IMPUTATION
US92826C8394,US92826C8394,"VISA Inc. Reg. Shares Class A DL -,0001",BLOCKED_NOT_EXECUTED,4,4,MISSING_DATA,MISSING_DATA,REVIEW_CORE_DATA,REVIEW_CORE_DATA,False,BLOCKED_NOT_EXECUTED;NO_VALUE_CHANGES;NO_IMPUTATION
