ticker,isin,company_name,company_type_profile,current_score_quality_flag,current_kpi_tier_status,core_kpi_closure_status,missing_core_kpis,missing_core_kpi_count,covered_core_kpis,covered_core_kpi_count,required_core_kpi_count,sec_scope_status,evidence_registry_status,evidence_applied_status,recommended_closure_path,next_review_action,reason_code
US02079K3059,US02079K3059,"Alphabet Inc. Reg. Shs Cap.Stk Cl. A DL-,001",STANDARD,MISSING_DATA,REVIEW_CORE_DATA,REVIEW,gross_margin; operating_margin; revenue_cagr_5y; share_count_cagr_5y,4,eps_cagr_5y,1,5,SEC_ELIGIBLE,NO_EVIDENCE,NO_APPLIED_VALUE,SEC_EVIDENCE_POSSIBLE,Run reviewed SEC evidence workflow for missing core KPIs.,CORE_KPI_MISSING;NO_VALUE_CHANGES;REVIEW_CORE_DATA;SEC_IDENTITY_AVAILABLE
US22788C1053,US22788C1053,"Crowdstrike Holdings Inc Registered Shs Cl.A DL-,0005",STANDARD,MISSING_DATA,REVIEW_CORE_DATA,REVIEW,eps_cagr_5y; gross_margin; operating_margin; revenue_cagr_5y; share_count_cagr_5y,5,,0,5,SEC_ELIGIBLE,NO_EVIDENCE,NO_APPLIED_VALUE,SEC_EVIDENCE_POSSIBLE,Run reviewed SEC evidence workflow for missing core KPIs.,CORE_KPI_MISSING;NO_VALUE_CHANGES;REVIEW_CORE_DATA;SEC_IDENTITY_AVAILABLE
US8522341036,US8522341036,Block Inc. Registered Shs Class A,STANDARD,MISSING_DATA,REVIEW_CORE_DATA,REVIEW,gross_margin; operating_margin; revenue_cagr_5y,3,eps_cagr_5y; share_count_cagr_5y,2,5,SEC_ELIGIBLE,NO_EVIDENCE,NO_APPLIED_VALUE,SEC_EVIDENCE_POSSIBLE,Run reviewed SEC evidence workflow for missing core KPIs.,CORE_KPI_MISSING;NO_VALUE_CHANGES;REVIEW_CORE_DATA;SEC_IDENTITY_AVAILABLE
US92826C8394,US92826C8394,"VISA Inc. Reg. Shares Class A DL -,0001",STANDARD,MISSING_DATA,REVIEW_CORE_DATA,REVIEW,eps_cagr_5y; gross_margin; revenue_cagr_5y; share_count_cagr_5y,4,operating_margin,1,5,SEC_ELIGIBLE,NO_EVIDENCE,NO_APPLIED_VALUE,SEC_EVIDENCE_POSSIBLE,Run reviewed SEC evidence workflow for missing core KPIs.,CORE_KPI_MISSING;NO_VALUE_CHANGES;REVIEW_CORE_DATA;SEC_IDENTITY_AVAILABLE
